source,trial,calibration_contexts,method,sampling_temperature,kl,js,tv,top1_flip,top10_overlap
micro-lm:Q3,3,64,temperature+token-bias+PCA,0.8,0.08517557382583618,0.02064625918865204,0.15085747838020325,0.21825,0.8561500000000002
micro-lm:Q3,3,64,temperature+token-bias+PCA,1.0,0.06222810223698616,0.015270156785845757,0.1329811066389084,0.21825,0.8561500000000002
micro-lm:Q3,3,64,temperature+token-bias+PCA,1.3,0.04111824557185173,0.010173054412007332,0.11032287031412125,0.21825,0.8561500000000002
micro-lm:Q3,4,64,identity,0.55,0.24443744122982025,0.0512528158724308,0.21966910362243652,0.2565,0.805575
micro-lm:Q3,4,64,identity,0.8,0.16311593353748322,0.03670452535152435,0.20009468495845795,0.2565,0.805575
micro-lm:Q3,4,64,identity,1.0,0.12191928178071976,0.02834969013929367,0.18185050785541534,0.2565,0.805575
micro-lm:Q3,4,64,identity,1.3,0.08147113025188446,0.01949470117688179,0.15426088869571686,0.2565,0.805575
micro-lm:Q3,4,64,temperature,0.55,0.2081964761018753,0.04676705598831177,0.21023501455783844,0.2565,0.805575
micro-lm:Q3,4,64,temperature,0.8,0.1376124918460846,0.03263305500149727,0.1869785189628601,0.2565,0.805575
micro-lm:Q3,4,64,temperature,1.0,0.10349554568529129,0.02503383718430996,0.16816498339176178,0.2565,0.805575
micro-lm:Q3,4,64,temperature,1.3,0.07044088840484619,0.017281990498304367,0.1426086723804474,0.2565,0.805575
micro-lm:Q3,4,64,temperature+token-bias,0.55,0.1481107622385025,0.034351494163274765,0.18719922006130219,0.23225,0.8474500000000001
micro-lm:Q3,4,64,temperature+token-bias,0.8,0.09253789484500885,0.022296758368611336,0.15974865853786469,0.23225,0.8474500000000001
micro-lm:Q3,4,64,temperature+token-bias,1.0,0.06741917878389359,0.016464443877339363,0.14004850387573242,0.23225,0.8474500000000001
micro-lm:Q3,4,64,temperature+token-bias,1.3,0.04460901394486427,0.010999799706041813,0.11592195928096771,0.23225,0.8474500000000001
micro-lm:Q3,4,64,temperature+token-bias+PCA,0.55,0.14071503281593323,0.0326504223048687,0.18030963838100433,0.22775,0.8545250000000001
micro-lm:Q3,4,64,temperature+token-bias+PCA,0.8,0.08784636110067368,0.021182831376791,0.1545497179031372,0.22775,0.8545250000000001
micro-lm:Q3,4,64,temperature+token-bias+PCA,1.0,0.0636790320277214,0.015561315231025219,0.1354551613330841,0.22775,0.8545250000000001
micro-lm:Q3,4,64,temperature+token-bias+PCA,1.3,0.04177108034491539,0.010304568335413933,0.11176855117082596,0.22775,0.8545250000000001
