source,trial,calibration_contexts,method,kl,js,tv,top1_flip,top10_overlap,fitted_scale
controlled:scale,2,32,temperature+token-bias,0.0008837027162800288,0.0002208446388581862,0.016655843545603698,0.0325,0.9724166666666667,
controlled:scale,2,32,temperature+token-bias+PCA,0.0008982207720111276,0.00022448075956314976,0.016779700991517325,0.0325,0.9714166666666667,
controlled:scale,2,64,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,2,64,temperature,0.0008630719771499818,0.00021571862232301967,0.016457883516783324,0.03,0.9727500000000001,1.2192008980359432
controlled:scale,2,64,temperature+rank,0.0008650283609671387,0.00021619750453163593,0.016480097576817166,0.03,0.9727500000000001,
controlled:scale,2,64,isotonic,0.0015948386581219446,0.0004018429882242953,0.018451263346092737,0.0325,0.9724166666666667,
controlled:scale,2,64,temperature+token-bias,0.0008732521989753121,0.00021824860293999753,0.0165494217603813,0.03166666666666667,0.9730833333333332,
controlled:scale,2,64,temperature+token-bias+PCA,0.000881489509588831,0.0002202968483280704,0.016629009023781074,0.029166666666666667,0.9725,
controlled:scale,3,2,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,2,temperature,0.0008629274574568878,0.00021568916769434268,0.016459232352883463,0.03,0.9727500000000001,1.2188060726527967
controlled:scale,3,2,temperature+rank,0.0008867989555811636,0.00022165501812332095,0.016713620503116852,0.03,0.9727500000000001,
controlled:scale,3,2,isotonic,0.022508400750749873,0.004906044338283986,0.04461726915865178,0.07333333333333333,0.9723333333333333,
controlled:scale,3,2,temperature+token-bias,0.0008786855866717558,0.0002196300663303713,0.016615056877907375,0.029166666666666667,0.9720000000000001,
controlled:scale,3,2,temperature+token-bias+PCA,0.0008786855866717558,0.00021963006633037157,0.016615056877907375,0.029166666666666667,0.9720000000000001,
controlled:scale,3,4,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,4,temperature,0.0008633216065540418,0.00021577696238801966,0.016459128910320985,0.03,0.9727500000000001,1.2194405793091194
controlled:scale,3,4,temperature+rank,0.0008836423397047238,0.00022089456144187405,0.016678725838675346,0.03,0.9727500000000001,
controlled:scale,3,4,isotonic,0.022697836293637176,0.004951157599592224,0.045546364839269,0.07416666666666667,0.9721666666666667,
controlled:scale,3,4,temperature+token-bias,0.0008942157485664485,0.00022346197952365142,0.016772506578000335,0.03166666666666667,0.9720000000000001,
controlled:scale,3,4,temperature+token-bias+PCA,0.0008957553589213069,0.00022385993840065186,0.016782689938583898,0.034166666666666665,0.9718333333333333,
controlled:scale,3,8,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,8,temperature,0.0008639159112443802,0.0002159520570786332,0.01647853587052345,0.03,0.9727500000000001,1.2178677782600813
controlled:scale,3,8,temperature+rank,0.0008846180811135297,0.00022119006788887406,0.016727208231580318,0.0325,0.9727500000000001,
controlled:scale,3,8,isotonic,0.01633214094172183,0.0036356588577171824,0.037808204560094504,0.04833333333333333,0.9715833333333334,
controlled:scale,3,8,temperature+token-bias,0.000903133098650587,0.00022569711308334793,0.016871298206487785,0.0325,0.9716666666666667,
controlled:scale,3,8,temperature+token-bias+PCA,0.0009491766003601217,0.00023719863660624286,0.017328175287308765,0.03166666666666667,0.9701666666666665,
controlled:scale,3,16,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,16,temperature,0.0008630532652991921,0.00021572599742779845,0.016463423642390246,0.03,0.9727500000000001,1.2184868959370807
controlled:scale,3,16,temperature+rank,0.0008755521351584783,0.00021889357230382638,0.016611818637095956,0.03333333333333333,0.9727500000000001,
controlled:scale,3,16,isotonic,0.012316918240729478,0.0027932314844157377,0.03324208898085273,0.04083333333333333,0.9720000000000001,
controlled:scale,3,16,temperature+token-bias,0.0008914748669262869,0.00022279220084730055,0.016752994392500272,0.030833333333333334,0.9717499999999999,
controlled:scale,3,16,temperature+token-bias+PCA,0.000909171807335894,0.000227220450422648,0.01692552685985401,0.03166666666666667,0.9713333333333335,
controlled:scale,3,32,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,32,temperature,0.0008629601360212846,0.00021569989226593567,0.016460961589397378,0.03,0.9727500000000001,1.2186545424241222
controlled:scale,3,32,temperature+rank,0.0008749702300742487,0.00021875326544516238,0.01661025672941835,0.03333333333333333,0.9727500000000001,
controlled:scale,3,32,isotonic,0.005072422012505088,0.0012155038471268747,0.023882613498493643,0.03333333333333333,0.9717499999999999,
controlled:scale,3,32,temperature+token-bias,0.000881568664155946,0.0002203306260299176,0.016651886142683515,0.03,0.9723333333333335,
controlled:scale,3,32,temperature+token-bias+PCA,0.0008901575534014276,0.00022248953600487436,0.016746913972412757,0.03166666666666667,0.9715000000000001,
controlled:scale,3,64,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,3,64,temperature,0.0008632940040529939,0.00021579026080667584,0.016468221552736657,0.03,0.9727500000000001,1.218244303197436
controlled:scale,3,64,temperature+rank,0.0008652112370527337,0.00021628309754615215,0.016497712775628493,0.03,0.9727500000000001,
controlled:scale,3,64,isotonic,0.0014811681899516598,0.0003735614227955998,0.018432598916102036,0.035,0.9723333333333335,
controlled:scale,3,64,temperature+token-bias,0.0008727812053719885,0.00021814323607712612,0.01656018692608289,0.030833333333333334,0.9721666666666667,
controlled:scale,3,64,temperature+token-bias+PCA,0.0008764934682627427,0.00021907748367344068,0.01659767496772916,0.03333333333333333,0.9725833333333332,
controlled:scale,4,2,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,2,temperature,0.0009212350910641976,0.00023039305731598615,0.017103303174820134,0.03,0.9727500000000001,1.211434942543244
controlled:scale,4,2,temperature+rank,0.001283947110498866,0.0003205153882954216,0.02021852658585938,0.0675,0.9727500000000001,
controlled:scale,4,2,isotonic,0.03878757582740116,0.00815394711718017,0.06146214893118971,0.12583333333333332,0.9722499999999998,
controlled:scale,4,2,temperature+token-bias,0.0009360036027396427,0.00023407888847642232,0.017235201787889873,0.03333333333333333,0.9718333333333333,
controlled:scale,4,2,temperature+token-bias+PCA,0.0009360036027396427,0.00023407888847642232,0.017235201787889873,0.03333333333333333,0.9718333333333333,
controlled:scale,4,4,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,4,temperature,0.0008870950609151555,0.00022181108083528254,0.016748540983924753,0.03,0.9727500000000001,1.2140687077600636
controlled:scale,4,4,temperature+rank,0.0010656122386409532,0.00026645657133050253,0.018534072561056658,0.04666666666666667,0.9727500000000001,
controlled:scale,4,4,isotonic,0.014836089521249873,0.0033304876459112733,0.037166264650322356,0.04583333333333333,0.9719166666666669,
