source,trial,calibration_contexts,method,temperature,top_p,js,tv
micro-lm:Q3,2,16,temperature+rank,0.8,0.95,0.04678536180114871,0.2068794525206966
micro-lm:Q3,2,16,temperature+token-bias+PCA,0.8,0.95,0.03346744552254677,0.17167727649211884
micro-lm:Q3,2,64,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,2,64,tuned T,0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,2,64,"tuned T,p",0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,2,64,temperature+rank,0.8,0.95,0.04447124733922919,0.19645625129362168
micro-lm:Q3,2,64,temperature+token-bias+PCA,0.8,0.95,0.028259258717298508,0.15511000156402588
micro-lm:Q3,3,16,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,3,16,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,3,16,"tuned T,p",0.8999999999999999,0.94,0.044485777616500854,0.19548602402210236
micro-lm:Q3,3,16,temperature+rank,0.8,0.95,0.04466980240599599,0.19729730607180762
micro-lm:Q3,3,16,temperature+token-bias+PCA,0.8,0.95,0.03393040597438812,0.17130626738071442
micro-lm:Q3,3,64,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,3,64,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,3,64,"tuned T,p",0.85,0.96,0.04427403211593628,0.19786867499351501
micro-lm:Q3,3,64,temperature+rank,0.8,0.95,0.04441060851588314,0.1959232691157541
micro-lm:Q3,3,64,temperature+token-bias+PCA,0.8,0.95,0.028602655977010727,0.1560550481081009
micro-lm:Q3,4,16,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,4,16,tuned T,0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,4,16,"tuned T,p",0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,4,16,temperature+rank,0.8,0.95,0.0464079660814173,0.20062421552340182
micro-lm:Q3,4,16,temperature+token-bias+PCA,0.8,0.95,0.03416656702756882,0.1730547994375229
micro-lm:Q3,4,64,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,4,64,tuned T,0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,4,64,"tuned T,p",0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,4,64,temperature+rank,0.8,0.95,0.044897585281366545,0.19759578536861783
micro-lm:Q3,4,64,temperature+token-bias+PCA,0.8,0.95,0.02815954200923443,0.15437127649784088
