document,chunk,positions,baseline_js,corrected_js,js_reduction,baseline_tv,corrected_tv
gap-calibration,12,63,0.0359586225149181,0.03543986283087482,0.000518759684043274,0.13810574612210666,0.1378407408852899
gap-calibration,13,63,0.053616686613254604,0.052884090142989795,0.0007325964702648083,0.1723792173323177,0.16923959334454838
gap-calibration,14,63,0.050303823512328406,0.048873396705612464,0.0014304268067159426,0.16344718714909895,0.16013890087959312
gap-calibration,15,63,0.055829367689078764,0.05335041230529665,0.002478955383782115,0.17582227742033346,0.17184002188936112
gap-calibration,16,63,0.05930142142252797,0.05810129942579402,0.0012001219967339508,0.15969386690902332,0.1560205388518553
gap-calibration,17,63,0.07196602644768381,0.06907068093913415,0.0028953455085496543,0.2056713898385328,0.19664850216063243
gap-calibration,18,63,0.059079821679800276,0.05956453587379425,-0.00048471419399397087,0.18940201738760584,0.18875146462094217
gap-calibration,19,63,0.037462293155609616,0.03533947911660468,0.002122814039004939,0.14956442367226358,0.144343656768638
gap-calibration,20,63,0.04412197035646155,0.04274194797876084,0.0013800223777007126,0.17017799695687635,0.1676179219687742
gap-calibration,21,63,0.05111918924745941,0.050910202948938284,0.00020898629852112577,0.14783328205406193,0.14612971896690036
gap-calibration,22,63,0.040296018286238584,0.039270153779181693,0.0010258645070568909,0.1334642687487224,0.13073603182084978
gap-calibration,23,63,0.028707912376534844,0.028639369082474518,6.854329406032547e-05,0.0847893167464506,0.08430347621204361
gap-calibration,24,63,0.04792867049099951,0.04826000833233434,-0.0003313378413348292,0.16434994588295618,0.1632413844622317
gap-calibration,25,63,0.06203917308252246,0.060700112754212956,0.0013390603283095007,0.1862247015334784,0.18135332812865576
gap-calibration,26,63,0.039480626590490814,0.039322905242443085,0.00015772134804772908,0.12615062379174763,0.1256082406829274
gap-calibration,27,63,0.03487458289231336,0.03371827091674306,0.0011563119755703052,0.1336354734228244,0.1294024639304668
gap-calibration,28,63,0.060333552323133935,0.05964621027288515,0.0006873420502487848,0.190645149598519,0.18688597648389757
gap-calibration,29,63,0.06248668886883746,0.0622255897707498,0.0002610990980876568,0.2071100165919652,0.20756350395580134
gap-calibration,30,63,0.0492028332507563,0.04645057185183442,0.0027522613989218805,0.15219077107215684,0.1476154617728695
gap-calibration,31,63,0.07308119517706689,0.07583230831438587,-0.002751113137318975,0.20029610008119592,0.20338621880445215
hidden-adapter,0,63,0.054063898060352555,0.05203623686813646,0.0020276611922160973,0.19254647112554973,0.18702984743175052
hidden-adapter,1,63,0.0650241393448105,0.06519340629142428,-0.0001692669466137886,0.18343309230274624,0.18104867004449404
hidden-adapter,2,63,0.04081963664216418,0.03821333676820532,0.002606299873958863,0.13154582534399298,0.12446851398618448
hidden-adapter,3,63,0.05778269733243164,0.05887467613709824,-0.0010919788046666046,0.19409737484677445,0.19398452761390853
hidden-adapter,4,63,0.05424686711991117,0.05238474300038808,0.0018621241195230856,0.16995033645440663,0.1648862562955372
hidden-adapter,5,63,0.02503073026887178,0.023946933642340202,0.001083796626531578,0.08643082059210255,0.0827214074217611
hidden-adapter,6,63,0.031974002875993765,0.030607057892854162,0.0013669449831396029,0.09926428666545285,0.095217070675322
hidden-adapter,7,63,0.03964017751988851,0.040685749871449337,-0.0010455723515608237,0.13299171082557193,0.13190368409194644
hidden-adapter,8,63,0.031718579074737456,0.03020942974503019,0.0015091493297072663,0.10593113995024137,0.10026621723931933
hidden-adapter,9,63,0.04943600257060358,0.048924530869246356,0.0005114717013572218,0.16166786234530192,0.1585778705184422
hidden-adapter,10,63,0.04566370200602308,0.04646206122734362,-0.0007983592213205437,0.14996731402500282,0.15028540902431048
hidden-adapter,11,63,0.07682123708553494,0.07680176369224985,1.9473393285091012e-05,0.21892468737704412,0.2182727622843924
hidden-adapter,12,63,0.053991482249416765,0.05246227920528442,0.0015292030441323434,0.1820817625238782,0.17761061287352017
hidden-adapter,13,63,0.051986448381776136,0.053251801356617806,-0.00126535297484167,0.17828902513498351,0.17877525614485854
hidden-adapter,14,63,0.06578465014518727,0.06572158213719607,6.30680079911905e-05,0.21174818034919482,0.2068468781099433
hidden-adapter,15,63,0.040581052638738166,0.04089104894286258,-0.00030999630412441304,0.13789729572950848,0.1356648477533507
hidden-adapter,16,63,0.02612858254551178,0.024991107498487784,0.0011374750470239947,0.0893211058296618,0.08738109070275511
hidden-adapter,17,63,0.05083548804996387,0.05095180682699373,-0.00011631877702986126,0.148300237066689,0.1470611887496142
