quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap,ref_entropy
Q2_K_XL,3,6+7,0,1,63,126,1.0,target-temperature+token,1.0461699078260396,0.9558676774387619,0.2640074548544322,0.05995109952511848,0.23559850416176825,0.7644014958382317,0.7142857142857143,0.7222222222222222,2.2518942745684907
Q2_K_XL,3,6+7,0+1,2,126,126,0.8,identity,0.9985314376300879,0.8011765777737736,0.2924936707608979,0.06540213691202086,0.2361249921774373,0.7638750078225627,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1,2,126,126,0.8,target-temperature,0.9985314376300879,0.8011765777737736,0.2924297588898102,0.06544010321054992,0.23624335478644243,0.7637566452135576,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1,2,126,126,0.8,target-temperature+token,0.9985314376300879,0.8011765777737736,0.29350523771997045,0.06627008555875645,0.2383110881631604,0.7616889118368396,0.7619047619047619,0.7253968253968254,1.4737152419779185
Q2_K_XL,3,6+7,0+1,2,126,126,1.0,identity,1.0525251127129354,0.9500960954959552,0.24630492237303003,0.05642058191272912,0.22725105274135052,0.7727489472586495,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1,2,126,126,1.0,target-temperature,1.0525251127129354,0.9500960954959552,0.24779123751152005,0.055259209864305124,0.22275700294765283,0.7772429970523471,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1,2,126,126,1.0,target-temperature+token,1.0525251127129354,0.9500960954959552,0.24729760886320554,0.05573188114546586,0.22443371880281127,0.7755662811971887,0.753968253968254,0.7277777777777776,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,0.8,identity,0.9994272550139103,0.8004584585687183,0.2924936707608979,0.06540213691202086,0.2361249921774373,0.7638750078225627,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,0.8,target-temperature,0.9994272550139103,0.8004584585687183,0.29246796251925555,0.06541678078478953,0.23617093883228651,0.7638290611677134,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,0.8,target-temperature+token,0.9994272550139103,0.8004584585687183,0.2842050353017819,0.06395726458166147,0.23279470186791013,0.7672052981320898,0.7698412698412699,0.730952380952381,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,1.0,identity,1.0457558240511242,0.956246168561728,0.24630492237303003,0.05642058191272912,0.22725105274135052,0.7727489472586495,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,1.0,target-temperature,1.0457558240511242,0.956246168561728,0.246933516787134,0.05526689234828965,0.22301309729273522,0.7769869027072648,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3,4,252,126,1.0,target-temperature+token,1.0457558240511242,0.956246168561728,0.24141323319115987,0.054516911393053,0.2224462822994548,0.7775537177005452,0.7777777777777778,0.7333333333333335,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,0.8,identity,0.9976484808473396,0.8018856494629557,0.2924936707608979,0.06540213691202086,0.2361249921774373,0.7638750078225627,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,0.8,target-temperature,0.9976484808473396,0.8018856494629557,0.2923944923014567,0.06546360475536372,0.23631534551400757,0.7636846544859924,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,0.8,target-temperature+token,0.9976484808473396,0.8018856494629557,0.28103047738114023,0.06319377464450007,0.2307583894475589,0.7692416105524411,0.7698412698412699,0.7317460317460319,1.4737152419779185
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,1.0,identity,1.038559368021183,0.9628722543857535,0.24630492237303003,0.05642058191272912,0.22725105274135052,0.7727489472586495,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,1.0,target-temperature,1.038559368021183,0.9628722543857535,0.24622681612734737,0.055317610887694504,0.2234462271576142,0.7765537728423858,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0+1+2+3+4+5,6,378,126,1.0,target-temperature+token,1.038559368021183,0.9628722543857535,0.23905177548412776,0.05411751065352292,0.22137278811477004,0.77862721188523,0.7698412698412699,0.730952380952381,2.2518942745684907
