block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
5,5,63,frozen-target-temperature,1.0293006839980887,0.15964834244444015,0.036783539414974156,0.1433847442848092,0.873015873015873,0.7492063492063492
5,5,63,frozen-temperature+token,1.0293006839980887,0.16626411261578355,0.0386814471218894,0.1478340233322816,0.873015873015873,0.7555555555555556
5,5,63,frozen-pairwise-gap,1.0293006839980887,0.16639246517807416,0.03859675808463948,0.14748594514354404,0.873015873015873,0.7555555555555556
6,6,63,identity,1.0293006839980887,0.1496181901327972,0.033019216736458426,0.14602794841203331,0.7936507936507936,0.7857142857142856
6,6,63,frozen-target-temperature,1.0293006839980887,0.1490702219756145,0.03238188407024546,0.14359693152241626,0.7936507936507936,0.7857142857142856
6,6,63,frozen-temperature+token,1.0293006839980887,0.15753378284451025,0.03449294061900191,0.15290460159351504,0.7936507936507936,0.7746031746031744
6,6,63,frozen-pairwise-gap,1.0293006839980887,0.15732537619520295,0.034365197610126075,0.15250621004008966,0.7936507936507936,0.7746031746031744
7,7,63,identity,1.0293006839980887,0.132005886157405,0.030743435621558752,0.13442801739536836,0.9206349206349206,0.7634920634920634
7,7,63,frozen-target-temperature,1.0293006839980887,0.12992574542453772,0.029529315944357114,0.12978960372607115,0.9206349206349206,0.7634920634920634
7,7,63,frozen-temperature+token,1.0293006839980887,0.14066552612141692,0.032615186933780904,0.14200649098775145,0.873015873015873,0.7539682539682541
7,7,63,frozen-pairwise-gap,1.0293006839980887,0.14061046817960135,0.03248274930639391,0.14136528023416245,0.873015873015873,0.7539682539682541
8,8,63,identity,1.0293006839980887,0.16326078249787906,0.03818277558962,0.14990605654903588,0.8253968253968254,0.7587301587301586
8,8,63,frozen-target-temperature,1.0293006839980887,0.16310594732932543,0.037588795875918984,0.147638378203349,0.8253968253968254,0.7587301587301586
8,8,63,frozen-temperature+token,1.0293006839980887,0.16356952300841465,0.03774161369789025,0.14532150398389296,0.8253968253968254,0.7507936507936508
8,8,63,frozen-pairwise-gap,1.0293006839980887,0.16443470279015837,0.03787883110826934,0.14589668507835254,0.8253968253968254,0.7507936507936508
9,9,63,identity,1.0293006839980887,0.1393079720283113,0.032813828779937285,0.1420997512125935,0.873015873015873,0.7476190476190473
9,9,63,frozen-target-temperature,1.0293006839980887,0.1402423799868165,0.03250452461942953,0.14015704136609014,0.873015873015873,0.7476190476190473
9,9,63,frozen-temperature+token,1.0293006839980887,0.14108683152898552,0.032692181091580334,0.14412988131488838,0.8888888888888888,0.7603174603174601
9,9,63,frozen-pairwise-gap,1.0293006839980887,0.14122851046449128,0.032639710323669975,0.14381268364841465,0.8888888888888888,0.7603174603174601
10,10,63,identity,1.0293006839980887,0.16973193981552914,0.039077362873013166,0.16947534292460534,0.7936507936507936,0.76031746031746
10,10,63,frozen-target-temperature,1.0293006839980887,0.16861707131300088,0.03806524682260557,0.165481506142085,0.7936507936507936,0.76031746031746
10,10,63,frozen-temperature+token,1.0293006839980887,0.18034509403049998,0.04156499128992639,0.18093645969718286,0.7777777777777778,0.7698412698412695
10,10,63,frozen-pairwise-gap,1.0293006839980887,0.17953605416982132,0.041268663962022896,0.18009410168563458,0.7777777777777778,0.7698412698412695
11,11,63,identity,1.0293006839980887,0.17066371182187642,0.041409470309822095,0.17885826125400694,0.8571428571428571,0.7365079365079362
11,11,63,frozen-target-temperature,1.0293006839980887,0.1697543635366364,0.040424769578833536,0.17496308534607677,0.8571428571428571,0.7365079365079362
11,11,63,frozen-temperature+token,1.0293006839980887,0.18330796061782878,0.044385163864747695,0.18722231891553684,0.8412698412698413,0.7301587301587302
11,11,63,frozen-pairwise-gap,1.0293006839980887,0.18368737648300407,0.04440946176549341,0.18696870605814736,0.8412698412698413,0.7301587301587302
12,12,63,identity,1.0293006839980887,0.2415740800259819,0.05498058482245947,0.21844320846642373,0.746031746031746,0.7460317460317458
